Title	URL	Assignees	Status	Estimated size	Real size	Labels
Finalize Architecture Documentation	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/231		Product Backlog			Homework, IMPORTANT
Finalize User/Build/Design Documentation	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/244		Product Backlog			Homework, IMPORTANT
Refactor: clean the wiki	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/230		Product Backlog			IMPORTANT
Finalize: Bill of Material	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/232		Product Backlog			Homework, IMPORTANT
Research: Evaluate the contribution of the moduls for the output	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/229		Product Backlog			IMPORTANT, Research
Research: retest LLMs with Tessas module	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/228		Product Backlog			Research
Use HPC to train our own LLM	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/196		Product Backlog			Own LLM
Refactor: add better logging or errors	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/132		Product Backlog			
Use HPC to run training script	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/211		Product Backlog	3		Own LLM
Refactor: Json in API	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/130		Product Backlog			duplicate
Refactor: Json in Frontend	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/129		Product Backlog			duplicate, Frontend
Research: should we change our embbeding	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/208		Product Backlog			Research
Fixing lm_eval_runner Model Alignment	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/169		Product Backlog			
Module: Detect Edgecase accuracy of LLM research	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/175		Product Backlog			Module
Module: Code Complexity: Complexity Measurement Tool (CMT)	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/73		Product Backlog	3		Module
Module: Code Complexity: CM	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/76		Product Backlog			Module
Module(LLM performance): look at generated "Equivalence partitioning" classes	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/109		Product Backlog			Module
